Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Currently hospitalized,Currently in ICU,count_hosp_covid_related,count_icu_covid_related,Cumulative number of deaths,Number of deaths,Number of variants of concern,Percent positivity
2020-03-06,60,511,0,0,0,0,,,0,0,0,5
2020-03-07,281,792,1,2,0,0,,,0,0,0,0
2020-03-08,454,1246,1,3,0,0,,,0,0,0,0
2020-03-09,643,1889,4,7,1,0,,,0,0,0,1.71
2020-03-10,784,2673,9,16,1,0,,,0,0,0,1.91
2020-03-11,1334,4007,7,23,1,0,,,0,0,0,0.6
2020-03-12,1147,5154,3,26,2,1,,,0,0,0,0.26
2020-03-13,1587,6741,8,34,5,2,,,0,0,0,1.2
2020-03-14,1555,8296,22,56,5,2,,,0,0,0,1.93
2020-03-15,1834,10130,11,67,5,2,,,0,0,0,0.87
2020-03-16,1485,11615,24,91,6,2,,,0,0,0,2.63
2020-03-17,2083,13698,11,102,7,3,,,0,0,0,0.48
2020-03-18,2878,16576,29,131,12,3,,,1,1,0,1.88
2020-03-19,2869,19445,32,163,15,8,,,1,0,0,1.67
2020-03-20,3593,23038,46,209,16,9,,,1,0,0,1.64
2020-03-21,3507,26545,35,244,19,10,,,1,0,0,1.17
2020-03-22,2854,29399,47,291,20,10,,,1,0,0,1.26
2020-03-23,2728,32127,52,343,22,10,,,1,0,0,1.65
2020-03-24,3143,35270,68,411,29,11,,,1,0,0,1.81
2020-03-25,1645,36915,63,474,33,11,,,1,0,0,3.65
2020-03-26,1316,38231,53,527,34,11,,,1,0,0,2.74
2020-03-27,3697,41928,85,612,35,13,,,1,0,0,2.41
2020-03-28,2145,44073,54,666,38,14,,,1,0,0,2
2020-03-29,1929,46002,34,700,40,15,,,5,4,0,0.98
2020-03-30,2549,48551,40,740,42,17,,,10,5,0,1.18
2020-03-31,4770,53321,132,872,42,18,,,11,1,0,2.56
2020-04-01,3610,56931,108,980,41,20,,,12,1,0,2.3
2020-04-02,4009,60940,122,1102,43,20,,,15,3,0,2.34
2020-04-03,1723,62663,70,1172,45,19,,,18,3,0,2.44
2020-04-04,1807,64470,60,1232,47,20,,,23,5,0,2.6
2020-04-05,1185,65655,42,1274,44,20,,,25,2,0,3.21
2020-04-06,941,66596,34,1308,45,18,,,28,3,0,2.66
2020-04-07,1705,68301,53,1361,46,16,,,28,0,0,2.29
2020-04-08,1288,69589,33,1394,49,16,,,32,4,0,2.17
2020-04-09,2291,71880,45,1439,50,15,,,36,4,0,1.48
2020-04-10,2851,74731,49,1488,52,15,,,40,4,0,1.4
2020-04-11,2240,76971,65,1553,52,15,,,45,5,0,2.14
2020-04-12,2305,79276,68,1621,50,15,,,45,0,0,2.52
2020-04-13,2136,81412,68,1689,49,14,,,48,3,0,2.76
2020-04-14,2572,83984,127,1816,48,15,,,48,0,0,4.67
2020-04-15,3092,87076,133,1949,55,12,,,50,2,0,3.85
2020-04-16,3099,90175,146,2095,58,13,,,50,0,0,4.94
2020-04-17,5238,95413,213,2308,63,14,,,54,4,0,4.01
2020-04-18,3800,99213,187,2495,56,16,,,57,3,0,4.79
2020-04-19,4370,103583,201,2696,62,19,,,62,5,0,4.51
2020-04-20,4009,107592,183,2879,62,18,,,66,4,0,4.71
2020-04-21,4313,111905,264,3143,61,20,,,72,6,0,5.91
2020-04-22,4057,115962,294,3437,64,19,,,75,3,0,7.2
2020-04-23,4471,120433,340,3777,65,18,,,80,5,0,7.67
2020-04-24,4531,124964,232,4009,70,21,,,80,0,0,5.16
2020-04-25,4664,129628,222,4231,70,19,,,84,4,0,4.97
2020-04-26,4301,133929,203,4434,75,21,,,88,4,0,4.49
2020-04-27,3444,137373,178,4612,77,20,,,90,2,0,5.14
2020-04-28,4362,141735,249,4861,79,23,,,94,4,0,5.89
2020-04-29,5077,146812,231,5092,86,22,,,96,2,0,4.53
2020-04-30,5035,151847,222,5314,89,22,,,100,4,0,4.37
2020-05-01,2847,154694,141,5455,82,23,,,102,2,0,4.25
2020-05-02,4970,159664,112,5567,83,19,,,104,2,0,2.25
2020-05-03,3244,162908,70,5637,83,21,,,106,2,0,2.37
2020-05-04,2557,165465,79,5716,82,21,,,107,1,0,2.89
2020-05-05,3032,168497,62,5778,84,20,,,111,4,0,2.01
2020-05-06,2882,171379,65,5843,79,19,,,112,1,0,2.22
2020-05-07,4135,175514,87,5930,78,18,,,115,3,0,2.18
2020-05-08,3781,179295,77,6007,73,16,,,115,0,0,2.17
2020-05-09,4214,183509,85,6092,64,14,,,117,2,0,1.97
2020-05-10,3260,186769,71,6163,65,12,,,118,1,0,2.18
2020-05-11,2793,189562,47,6210,64,11,,,121,3,0,1.75
2020-05-12,3756,193318,70,6280,65,11,,,124,3,0,1.86
2020-05-13,4409,197727,62,6342,61,9,,,124,0,0,1.47
2020-05-14,4767,202494,61,6403,57,9,,,125,1,0,1.26
2020-05-15,4700,207194,73,6476,52,9,,,126,1,0,1.57
2020-05-16,3986,211180,54,6530,50,8,,,128,2,0,1.4
2020-05-17,3189,214369,46,6576,50,9,,,129,1,0,1.57
2020-05-18,3230,217599,38,6614,50,9,,,131,2,0,1.24
2020-05-19,2503,220102,43,6657,45,8,,,132,1,0,1.8
2020-05-20,3277,223379,27,6684,44,7,,,136,4,0,0.92
2020-05-21,3722,227101,30,6714,42,6,,,138,2,0,0.83
2020-05-22,3823,230924,27,6741,39,6,,,138,0,0,0.86
2020-05-23,3861,234785,32,6773,35,7,,,139,1,0,0.83
2020-05-24,3234,238019,29,6802,33,6,,,139,0,0,0.87
2020-05-25,2958,240977,13,6815,33,5,,,141,2,0,0.44
2020-05-26,3056,244033,19,6834,33,5,,,143,2,0,0.65
2020-05-27,3603,247636,27,6861,31,4,,,143,0,0,0.78
2020-05-28,3903,251539,28,6889,32,4,,,143,0,0,0.74
2020-05-29,3862,255401,30,6919,33,5,,,144,1,0,0.78
2020-05-30,3364,258765,20,6939,27,6,,,144,0,0,0.62
2020-05-31,3133,261898,34,6973,24,6,,,144,0,0,1.09
2020-06-01,2734,264632,21,6994,24,6,,,145,1,0,0.77
2020-06-02,4055,268687,19,7013,25,6,,,146,1,0,0.62
2020-06-03,4781,273468,18,7031,20,6,,,147,1,0,0.38
2020-06-04,5416,278884,19,7050,18,5,,,147,0,0,0.39
2020-06-05,5604,284488,37,7087,18,5,,,148,1,0,0.75
2020-06-06,5870,290358,23,7110,18,5,,,150,2,0,0.44
2020-06-07,5490,295848,33,7143,20,5,,,150,0,0,0.62
2020-06-08,4976,300824,24,7167,19,5,,,151,1,0,0.52
2020-06-09,5923,306747,38,7205,16,5,,,151,0,0,0.69
2020-06-10,6850,313597,48,7253,16,4,,,151,0,0,0.73
2020-06-11,8477,322074,43,7296,16,4,,,151,0,0,0.51
2020-06-12,6183,328257,27,7323,20,5,,,151,0,0,0.44
2020-06-13,7665,335922,35,7358,18,5,,,151,0,0,0.52
2020-06-14,7459,343381,53,7411,20,6,,,151,0,0,0.76
2020-06-15,6366,349747,36,7447,25,6,,,151,0,0,0.58
2020-06-16,6970,356717,45,7492,27,7,,,151,0,0,0.67
2020-06-17,7821,364538,46,7538,28,7,,,152,1,0,0.64
2020-06-18,9100,373638,46,7584,30,6,,,152,0,0,0.57
2020-06-19,7399,381037,47,7631,30,6,,,152,0,0,0.65
2020-06-20,8324,389361,30,7661,27,7,,,152,0,0,0.38
2020-06-21,6895,396256,33,7694,28,6,,,153,1,0,0.51
2020-06-22,6542,402798,41,7735,26,6,,,153,0,0,0.61
2020-06-23,6518,409316,45,7780,28,7,,,153,0,0,0.81
2020-06-24,6367,415683,25,7805,27,8,,,153,0,0,0.47
2020-06-25,6634,422317,36,7841,30,8,,,154,1,0,0.57
2020-06-26,6396,428713,66,7907,32,8,,,154,0,0,1.13
2020-06-27,6509,435222,37,7944,32,8,,,154,0,0,0.61
2020-06-28,6997,442219,68,8012,32,9,,,154,0,0,1.03
2020-06-29,7199,449418,44,8056,32,9,,,154,0,0,0.64
2020-06-30,6952,456370,33,8089,32,8,,,155,1,0,0.62
2020-07-01,7675,464045,64,8153,30,8,,,155,0,0,0.86
2020-07-02,6739,470784,55,8208,33,9,,,155,0,0,0.91
2020-07-03,5960,476744,30,8238,38,8,,,155,0,0,0.55
2020-07-04,5545,482289,48,8286,46,7,,,156,1,0,0.92
2020-07-05,5602,487891,48,8334,46,6,,,156,0,0,1.09
2020-07-06,6014,493905,49,8383,47,6,,,156,0,0,0.78
2020-07-07,6268,500173,44,8427,47,7,,,158,2,0,0.78
2020-07-08,6970,507143,43,8470,41,7,,,159,1,0,0.66
2020-07-09,7804,514947,74,8544,41,9,,,162,3,0,0.96
2020-07-10,7528,522475,62,8606,43,8,,,162,0,0,0.85
2020-07-11,10003,532478,90,8696,44,11,,,162,0,0,1.01
2020-07-12,7595,540073,78,8774,46,13,,,162,0,0,1.12
2020-07-13,5809,545882,87,8861,56,13,,,163,1,0,1.62
2020-07-14,6386,552268,85,8946,61,7,,,166,3,0,1.44
2020-07-15,8225,560493,115,9061,64,8,,,166,0,0,1.62
2020-07-16,6484,566977,103,9164,68,15,,,167,1,0,1.73
2020-07-17,9719,576696,168,9332,75,16,,,167,0,0,1.89
2020-07-18,6857,583553,102,9434,75,15,,,170,3,0,1.63
2020-07-19,6961,590514,88,9522,76,17,,,171,1,0,1.39
2020-07-20,7817,598331,131,9653,85,16,,,173,2,0,1.69
2020-07-21,8156,606487,136,9789,92,18,,,175,2,0,1.77
2020-07-22,8230,614717,113,9902,94,21,,,177,2,1,1.37
2020-07-23,8741,623458,116,10018,90,21,,,179,2,0,1.4
2020-07-24,10589,634047,117,10135,88,16,,,182,3,0,1.18
2020-07-25,9855,643902,98,10233,78,16,,,184,2,0,1.07
2020-07-26,7443,651345,89,10322,79,17,,,187,3,0,1.36
2020-07-27,7910,659255,81,10403,79,15,,,190,3,0,1.13
2020-07-28,8989,668244,131,10534,76,16,,,194,4,0,1.57
2020-07-29,8674,676918,118,10652,77,17,,,195,1,0,1.43
2020-07-30,8394,685312,124,10776,75,16,,,196,1,0,1.57
2020-07-31,11514,696826,99,10875,75,17,,,200,4,0,1.01
2020-08-01,9148,705974,67,10942,71,18,,,200,0,0,0.75
2020-08-02,6934,712908,73,11015,72,17,,,200,0,0,1.1
2020-08-03,7246,720154,64,11079,72,22,,,203,3,0,1.02
2020-08-04,7203,727357,94,11173,65,21,,,204,1,0,1.36
2020-08-05,7991,735348,61,11234,62,19,,,207,3,0,0.76
2020-08-06,8561,743909,128,11362,55,18,,,209,2,0,1.55
2020-08-07,8780,752689,111,11473,54,17,,,209,0,0,1.34
2020-08-08,10167,762856,97,11570,54,18,,,214,5,0,0.97
2020-08-09,7414,770270,45,11615,51,15,,,216,2,0,0.63
2020-08-10,7061,777331,86,11701,49,15,,,218,2,0,1.39
2020-08-11,8078,785409,116,11817,47,14,,,220,2,0,1.57
2020-08-12,7752,793161,72,11889,49,13,,,222,2,0,1.02
2020-08-13,8210,801371,81,11970,48,13,,,222,0,0,1.12
2020-08-14,10890,812261,104,12074,46,13,,,222,0,0,0.99
2020-08-15,8658,820919,83,12157,48,13,,,225,3,0,0.95
2020-08-16,8693,829612,95,12252,50,11,,,226,1,0,1.13
2020-08-17,8034,837646,85,12337,53,14,,,227,1,0,1.19
2020-08-18,9037,846683,81,12418,52,15,,,228,1,0,1.01
2020-08-19,9294,855977,101,12519,50,15,,,229,1,0,1.25
2020-08-20,9870,865847,140,12659,44,12,,,229,0,0,1.45
2020-08-21,10176,876023,88,12747,48,12,,,231,2,0,0.9
2020-08-22,10096,886119,103,12850,47,10,,,232,1,0,1.05
2020-08-23,8498,894617,70,12920,48,10,,,236,4,0,0.87
2020-08-24,8446,903063,73,12993,48,8,,,236,0,0,0.96
