date,number_of_lab_tests,cumulative_number_of_lab_tests,number_of_cases,cumulative_number_of_cases,currently_hospitalized,currently_in_icu,count_hosp_covid_related,count_icu_covid_related,cumulative_number_of_deaths,number_of_deaths,number_of_variants_of_concern,percent_positivity,total_vaccinated,active_cases
2020-03-06,60,511,0,0,0,0,,,0,0,0,5.0,0.0,2.0
2020-03-07,281,792,1,2,0,0,,,0,0,0,0.0,0.0,2.0
2020-03-08,454,1246,1,3,0,0,,,0,0,0,0.0,0.0,4.0
2020-03-09,643,1889,4,7,1,0,,,0,0,0,1.71,0.0,7.0
2020-03-10,784,2673,9,16,1,0,,,0,0,0,1.91,0.0,14.0
2020-03-11,1334,4007,7,23,1,0,,,0,0,0,0.6,0.0,19.0
2020-03-12,1147,5154,3,26,2,1,,,0,0,0,0.26,0.0,23.0
2020-03-13,1587,6741,8,34,5,2,,,0,0,0,1.2,0.0,29.0
2020-03-14,1555,8296,22,56,5,2,,,0,0,0,1.93,0.0,39.0
2020-03-15,1834,10130,11,67,5,2,,,0,0,0,0.87,0.0,56.0
2020-03-16,1485,11615,24,91,6,2,,,0,0,0,2.63,0.0,74.0
2020-03-17,2083,13698,11,102,7,3,,,0,0,0,0.48,0.0,97.0
2020-03-18,2878,16576,29,131,12,3,,,1,1,0,1.88,0.0,119.0
2020-03-19,2869,19445,32,163,15,8,,,1,0,0,1.67,0.0,144.0
2020-03-20,3593,23038,46,209,16,9,,,1,0,0,1.64,0.0,192.0
2020-03-21,3507,26545,35,244,19,10,,,1,0,0,1.17,0.0,223.0
2020-03-22,2854,29399,47,291,20,10,,,1,0,0,1.26,0.0,256.0
2020-03-23,2728,32127,52,343,22,10,,,1,0,0,1.65,0.0,298.0
2020-03-24,3143,35270,68,411,29,11,,,1,0,0,1.81,0.0,355.0
2020-03-25,1645,36915,63,474,33,11,,,1,0,0,3.65,0.0,416.0
2020-03-26,1316,38231,53,527,34,11,,,1,0,0,2.74,0.0,459.0
2020-03-27,3697,41928,85,612,35,13,,,1,0,0,2.41,0.0,509.0
2020-03-28,2145,44073,54,666,38,14,,,1,0,0,2.0,0.0,568.0
2020-03-29,1929,46002,34,700,40,15,,,5,4,0,0.98,0.0,588.0
2020-03-30,2549,48551,40,740,42,17,,,10,5,0,1.18,0.0,596.0
2020-03-31,4770,53321,132,872,42,18,,,11,1,0,2.56,0.0,634.0
2020-04-01,3610,56931,108,980,41,20,,,12,1,0,2.3,0.0,729.0
2020-04-02,4009,60940,122,1102,43,20,,,15,3,0,2.34,0.0,794.0
2020-04-03,1723,62663,70,1172,45,19,,,18,3,0,2.44,0.0,879.0
